date,forecast_revenue_lakhs,forecast_revenue_inr,year,month
2026-01-01,80.07999310176562,8007999.3101765625,2026,1
2026-02-01,78.39482803035295,7839482.803035296,2026,2
2026-03-01,81.6212110190403,8162121.10190403,2026,3
2026-04-01,90.54561091148975,9054561.091148974,2026,4
2026-05-01,91.36665551076355,9136665.551076354,2026,5
2026-06-01,98.92549785055581,9892549.785055581,2026,6
2026-07-01,102.44032912971352,10244032.912971351,2026,7
2026-08-01,111.46288327142568,11146288.327142568,2026,8
2026-09-01,115.82476287015632,11582476.287015632,2026,9
2026-10-01,149.95367575093164,14995367.575093163,2026,10
2026-11-01,168.45411752681596,16845411.752681598,2026,11
2026-12-01,127.48727963953819,12748727.96395382,2026,12
